iter	RMSE
0	1.102228542
1	1.058840735
2	1.018954983
3	0.9865283082
4	0.9533868727
5	0.924993514
6	0.9011684788
7	0.8783160665
8	0.8592862507
9	0.8421947692
10	0.8266525222
11	0.8127374812
12	0.8003248912
13	0.786476766
14	0.7758157105
15	0.7652630944
16	0.7568387553
17	0.7490860101
18	0.7395140395
19	0.7325491368
20	0.7262462075
21	0.7188348793
22	0.7120421398
23	0.7001782036
24	0.695030349
25	0.6849438249
26	0.6801333749
27	0.6746459983
28	0.6673750799
29	0.6626339258
30	0.6595962676
31	0.6563622632
32	0.6527400796
33	0.6494135831
34	0.646880072
35	0.6439009481
36	0.6382928353
37	0.6356128026
38	0.632892806
39	0.6302925205
40	0.6259783893
41	0.6236138277
42	0.6215416663
43	0.6193924546
44	0.6175538174
45	0.6160473865
46	0.6139008929
47	0.6122434123
48	0.610072977
49	0.6082726246
50	0.6042475716
51	0.6009705444
52	0.5998826279
53	0.5988030422
54	0.5973208426
55	0.5955455175
56	0.5932232601
57	0.5906095312
58	0.5897056666
59	0.5885659473
60	0.587615053
61	0.5868992046
62	0.5851647897
63	0.584001245
64	0.5829519275
65	0.5823361592
66	0.5813020789
67	0.5806769327
68	0.5784800745
69	0.5775660506
70	0.5764372882
71	0.5758676491
72	0.5754205562
73	0.5748359677
74	0.5742277795
75	0.571879759
76	0.570815737
77	0.5700965142
78	0.5692060246
79	0.5675524827
80	0.5663183338
81	0.5658652085
82	0.5653530357
83	0.5639589641
84	0.5623032169
85	0.5616486363
86	0.5608850286
87	0.5596242214
88	0.5592118268
89	0.5585701022
90	0.5580839632
91	0.5569738738
92	0.5555659407
93	0.5537462783
94	0.5532323377
95	0.5528363674
96	0.552356473
97	0.5518939779
98	0.5515457226
99	0.5509841188
