iter	Passed	Remaining
0	80	7975
1	82	4050
2	84	2738
3	86	2072
4	87	1668
5	89	1398
6	90	1204
7	92	1059
8	93	944
9	94	853
10	96	780
11	97	718
12	99	665
13	100	619
14	102	581
15	104	546
16	105	514
17	106	486
18	108	462
19	109	439
20	111	419
21	112	400
22	114	383
23	115	366
24	117	351
25	118	338
26	120	325
27	121	312
28	123	301
29	124	290
30	125	279
31	127	270
32	128	260
33	130	252
34	131	244
35	132	236
36	134	228
37	135	221
38	137	214
39	138	208
40	140	201
41	141	195
42	143	189
43	144	184
44	145	178
45	147	172
46	148	167
47	150	162
48	151	157
49	152	152
50	154	148
51	155	143
52	156	139
53	158	135
54	159	130
55	161	126
56	162	122
57	163	118
58	164	114
59	166	110
60	167	107
61	169	103
62	170	100
63	171	96
64	173	93
65	174	89
66	175	86
67	176	83
68	178	79
69	179	76
70	180	73
71	182	70
72	183	67
73	184	64
74	186	62
75	187	59
76	189	56
77	190	53
78	191	51
79	193	48
80	194	45
81	195	43
82	197	40
83	198	37
84	199	35
85	201	32
86	202	30
87	203	27
88	205	25
89	206	22
90	207	20
91	209	18
92	210	15
93	211	13
94	213	11
95	214	8
96	215	6
97	217	4
98	218	2
99	219	0
